author,text
user1,"I want to win this giveaway!"
user2,"This is amazing, count me in"
user3,"Good luck everyone"
user1,"Really hoping to win"
user4,"Let's go! I'm participating"
user2,"Thanks for the giveaway"
user5,"First time here, excited to participate"
user1,"Third message from me"
user6,"Hope I win something cool"
user7,"Participating in the giveaway"
user3,"Another message from user3"
user8,"New participant here"
user4,"Second message from user4"
user9,"I love these giveaways"
user10,"Count me in for the draw"
user11,"Just joined the stream"
user12,"This looks fun!"
user1,"Fourth message from user1"
user13,"Giveaway time!"
user14,"Hope everyone has fun"
